S	BETX	BETY	DX	DPX	ALFX	ALFY	MUX	MUY
-6.14	25.69212341	12.30879879	-0.006905019	-1.11E-06	3.926890135	0.928253889	-0.210835962	-0.118902598
-6.13	25.61373711	12.29023647	-0.006905038	-8.34E-07	3.921805382	0.926065087	-0.210773734	-0.118773316
-6.12	25.53548813	12.27168465	-0.00690506	-5.04E-07	3.916968107	0.923747003	-0.210711746	-0.118643616
-6.11	25.45740509	12.25316429	-0.006905084	-1.64E-07	3.912184477	0.921402872	-0.210649518	-0.118513916
-6.1	25.37940025	12.23467636	-0.006905103	1.47E-07	3.907254934	0.919132114	-0.210586814	-0.118383978
-6.09	25.30149841	12.2162466	-0.006905119	3.88E-07	3.901996613	0.91703248	-0.210523872	-0.118253802
-6.08	25.22366905	12.19787025	-0.006905128	5.49E-07	3.896356344	0.915128946	-0.210460929	-0.118123446
-6.07	25.14588547	12.17953682	-0.006905133	6.41E-07	3.89038372	0.913394928	-0.210397748	-0.117992733
-6.06	25.06821442	12.16125774	-0.006905132	6.75E-07	3.884135962	0.911804318	-0.210334329	-0.117861961
-6.05	24.99060822	12.14301586	-0.006905129	6.62E-07	3.877660513	0.910329044	-0.210270433	-0.11773095
-6.04	24.91313553	12.12482071	-0.006905123	6.13E-07	3.87101531	0.908942878	-0.210207013	-0.11759982
-6.03	24.83574486	12.10665798	-0.006905115	5.38E-07	3.864247799	0.907617748	-0.210143117	-0.117468511
-6.02	24.75849533	12.08853436	-0.006905106	4.50E-07	3.857415915	0.906327486	-0.210078744	-0.117336903
-6.01	24.68134689	12.07043457	-0.006905097	3.59E-07	3.850567818	0.905044019	-0.210014371	-0.117205118
-6	24.60436058	12.05237198	-0.006905088	2.76E-07	3.843760967	0.903741121	-0.20994976	-0.117073213
-5.99	24.52751732	12.03433418	-0.00690508	2.11E-07	3.837042332	0.902392745	-0.20988491	-0.116941069
-5.98	24.45079041	12.01631069	-0.006905074	1.68E-07	3.83042407	0.900991142	-0.20982006	-0.116808747
-5.97	24.37423515	11.99832058	-0.00690507	1.43E-07	3.823896408	0.899544597	-0.209754972	-0.116676186
-5.96	24.29778862	11.98035049	-0.006905067	1.34E-07	3.817440987	0.89805913	-0.209689407	-0.116543387
-5.95	24.22151184	11.96241188	-0.006905065	1.38E-07	3.811048269	0.896543384	-0.209623842	-0.116410468
-5.94	24.14533997	11.94449425	-0.006905063	1.51E-07	3.804699659	0.895002961	-0.209558515	-0.116277312
-5.93	24.06933212	11.9266119	-0.006905062	1.71E-07	3.798385382	0.893446922	-0.209492235	-0.116144036
-5.92	23.99345207	11.90875816	-0.006905061	1.94E-07	3.792088509	0.891881645	-0.209426193	-0.116010521
-5.91	23.91767502	11.89092827	-0.006905061	2.19E-07	3.785793304	0.890313745	-0.209359674	-0.115876768
-5.9	23.84204674	11.87313461	-0.00690506	2.41E-07	3.779490233	0.888751745	-0.209292917	-0.115742837
-5.89	23.76651764	11.85536575	-0.006905059	2.58E-07	3.773160696	0.887201428	-0.209226159	-0.115608667
-5.88	23.69114304	11.83763695	-0.006905057	2.70E-07	3.766806126	0.885665774	-0.209159164	-0.115474318
-5.87	23.61585808	11.81993103	-0.006905056	2.77E-07	3.760425568	0.884141624	-0.209091691	-0.115339671
-5.86	23.54072952	11.80226421	-0.006905053	2.79E-07	3.754027128	0.882628322	-0.20902398	-0.115204965
-5.85	23.46569633	11.78462124	-0.006905051	2.78E-07	3.747610092	0.881122947	-0.20895627	-0.11506996
-5.84	23.39081955	11.76701546	-0.006905048	2.75E-07	3.741183281	0.879624307	-0.208888559	-0.114934836
-5.83	23.31606865	11.74944115	-0.006905045	2.69E-07	3.734747887	0.878130138	-0.208820371	-0.114799593
-5.82	23.24141693	11.73188972	-0.006905043	2.63E-07	3.728304863	0.876637936	-0.208751945	-0.114663993
-5.81	23.16692352	11.71437454	-0.00690504	2.56E-07	3.721863747	0.875146747	-0.20868328	-0.114528154
-5.8	23.0925293	11.69688606	-0.006905037	2.50E-07	3.715423107	0.873653591	-0.208614377	-0.114392255
-5.79	23.01829529	11.67943192	-0.006905034	2.46E-07	3.708990574	0.872157753	-0.208545236	-0.114255999
-5.78	22.94416428	11.66200161	-0.006905031	2.43E-07	3.70256424	0.870657623	-0.208476095	-0.114119624
-5.77	22.87018585	11.64460754	-0.006905029	2.41E-07	3.696146011	0.869154692	-0.208406715	-0.113983129
-5.76	22.79631424	11.62723732	-0.006905026	2.40E-07	3.689730644	0.867648602	-0.208336858	-0.113846217
-5.75	22.72259903	11.60990334	-0.006905023	2.40E-07	3.68332243	0.866140783	-0.208266763	-0.113709365
-5.74	22.6490078	11.59259796	-0.006905021	2.41E-07	3.676916838	0.864631414	-0.208196906	-0.113572274
